id,region,first_nation,water_system_name,advisory_type,status,date_advisory_set,long_term_advisory_since,end_date,epho_recommendation_to_lift,project_phase,population_bucket,corrective_measure,longitude,latitude,is_long_term
1719,QUEBEC,Kitigan Zibi Anishinabeg,Wanaki Treatment Centre Semi-Public Water System,Do not consume advisory,Lifted,1999-08-12,2000-08-12,2017-12-11,NaT,Complete,Unknown,Effective monitoring and sampling,-76.06362,46.363995,True
1824,ONTARIO,Chippewas of Nawash First Nation,Cape Croker Public Water System,Boil water advisory,Active,2019-01-21,2020-01-21,NaT,NaT,Construction,501 to 1000 people,New treatment plant and distribution system extension,-81.0153,44.9471,True
1642,ONTARIO,Musk-kosiminiziibing,Big Grassy Public Water System,Boil water advisory,Lifted,2017-03-01,2018-03-01,2019-04-17,NaT,Complete,101 to 500 people,Maintenance and repairs,-94.32186,49.06583,True
1832,ONTARIO,Anishnaabeg of Naongashiing,Anishnaabeg of Naongashiing Big Island (Saug-A-Gaw-Sing) Water Treatment System,Boil water advisory,Active,2019-02-15,2020-02-15,NaT,NaT,Complete,101 to 500 people,Replacement of treatment system,-94.308,49.122,True
1450,ONTARIO,Gakijiwanong Anishinaabe Nation,Lac La Croix Water Treatment System,Boil water advisory,Active,2022-01-05,2023-01-05,NaT,NaT,Design,101 to 500 people,Repairs and operational improvements; plant upgrade in longer-term,-92.16116,48.37422,True
1651,ONTARIO,Gakijiwanong Anishinaabe Nation,Lac La Croix Public Water System,Boil water advisory,Lifted,2017-02-06,2018-02-06,2018-10-25,NaT,Complete,101 to 500 people,Repairs and upgrades to treatment system,-92.16116,48.37422,True
1833,ONTARIO,Nigigoonsiminikaaning First Nation,Nigigoonsiminikaaning Public Water System,Boil water advisory,Lifted,2019-02-05,2020-02-05,2020-09-30,NaT,Complete,101 to 500 people,Upgrades to the treatment process,-92.91669,48.74999,True
1532,ONTARIO,Rainy River First Nations,Rainy River Public Water System,Boil water advisory,Active,2024-02-06,2025-02-06,NaT,NaT,Construction,101 to 500 people,Upgrade and expansion of the water treatment plant,-93.906944,48.655,True
1371,ONTARIO,Mitaanjigamiing First Nation,Mitaanjigamiing First Nation Stanjikoming Water Treatment System,Boil water advisory,Lifted,2020-05-15,2021-05-15,2021-08-06,NaT,Complete,101 to 500 people,Upgrades to the existing treatment system,-93.386263,48.710978,True
1683,ONTARIO,Wahta Mohawk,Wahta Administration/ Community Centre Semi-Public Water System,Do not consume advisory,Lifted,2013-09-11,2014-09-11,2021-03-31,NaT,Complete,Unknown,New well and point-of-entry treatment system,-79.73028,45.01639,True
1546,ONTARIO,Shawanaga First Nation,Shawanaga Public Water System,Boil water advisory,Active,2024-07-11,2025-07-11,NaT,NaT,Construction,101 to 500 people,Complete watermain repairs,80.284,45.517,True
1644,ONTARIO,Chippewas of Georgina Island,Georgina Island Public Water System,Boil water advisory,Active,2017-04-24,2018-04-24,NaT,NaT,Complete,101 to 500 people,Upgrades to treatment system and distribution system,-79.31287,44.37284,True
1654,ONTARIO,Mississaugas of Scugog Island First Nation,Scugog Community Water System 1 Public Water System,Boil water advisory,Lifted,2008-10-23,2009-10-23,2021-12-15,NaT,Complete,0 to 100 people,New water treatment plant,-78.88061,44.19397,True
1727,ONTARIO,Mississaugas of Scugog Island First Nation,Scugog Apartments Well House 3 Public Water System,Boil water advisory,Lifted,2008-10-23,2009-10-23,2018-02-09,NaT,Complete,0 to 100 people,Repairs to treatment system,-78.88061,44.19397,True
1657,ONTARIO,Mississaugas of Scugog Island First Nation,Scugog Health Centre Semi-Public Water System,Boil water advisory,Lifted,2008-10-23,2009-10-23,2021-12-15,NaT,Complete,Unknown,New water treatment plant,-78.88061,44.19397,True
1656,ONTARIO,Mississaugas of Scugog Island First Nation,Scugog Band Office Semi-Public Water System,Boil water advisory,Lifted,2008-10-23,2009-10-23,2021-12-15,NaT,Complete,Unknown,New water treatment plant,-78.88061,44.19397,True
1655,ONTARIO,Mississaugas of Scugog Island First Nation,Scugog Community Water System 2 Public Water System,Boil water advisory,Lifted,2008-10-23,2009-10-23,2021-12-15,NaT,Complete,0 to 100 people,New water treatment plant,-78.88061,44.19397,True
1744,ONTARIO,Taykwa Tagamou Nation,Taykwa Tagamou Public Water System,Boil water advisory,Lifted,2011-04-14,2012-04-14,2016-10-28,NaT,Complete,0 to 100 people,Improved filtration,-80.83298,49.00291,True
1541,ONTARIO,Weenusk,Peawanuck Public Water System,Boil water advisory,Lifted,2024-05-03,2025-05-03,2025-10-14,NaT,Complete,101 to 500 people,Operational improvements,-85.42101384,55.00878088,True
1685,ONTARIO,Weenusk,Peawanuck Public Water System (Non-Transient),Boil water advisory,Lifted,2006-02-15,2007-02-15,2018-12-19,NaT,Complete,101 to 500 people,Upgrades to water treatment system,-85.42101,55.00878,True
1551,ONTARIO,Grassy Narrows First Nation,Grassy Narrows Public Water System,Boil water advisory,Active,2024-08-29,2025-08-29,NaT,NaT,Design,501 to 1000 people,New water treatment plant,-94.00469,50.14904,True
1646,ONTARIO,Grassy Narrows First Nation,Grassy Narrows Public Water System,Boil water advisory,Lifted,2014-06-27,2015-06-27,2020-09-23,NaT,Complete,501 to 1000 people,Interim repairs and feasibility study to determine long-term solution,-93.99201,50.15378,True
1800,ONTARIO,Wabaseemoong Independent Nations,Whitedog Public Water System,Boil water advisory,Lifted,2017-08-11,2018-08-11,2021-12-06,NaT,Complete,501 to 1000 people,Upgrades and repairs to system,-94.93545,50.16717,True
1472,ONTARIO,Wabaseemoong Independent Nations,Whitedog Public Water System,Boil water advisory,Lifted,2022-07-20,2023-07-20,2023-08-11,NaT,Complete,501 to 1000 people,Repairs and operational improvements,-94.93545,50.16717,True
1669,ONTARIO,Northwest Angle No.33,Elsie Blackhawk Pumphouse Public Water System,Boil water advisory,Lifted,2011-04-11,2012-04-11,2023-06-14,NaT,Complete,0 to 100 people,New water treatment plant,-95.01585,49.36315,True
1667,ONTARIO,Northwest Angle No.33,East Pumphouse Plant Public Water System (part of Angle Inlet Public Water System),Boil water advisory,Lifted,2011-04-11,2012-04-11,2023-06-14,NaT,Complete,0 to 100 people,New water treatment plant,-95.01585,49.36315,True
1668,ONTARIO,Northwest Angle No.33,West Pumphouse Plant Public Water System (part of Angle Inlet Public Water System),Do not consume advisory,Lifted,2016-02-12,2017-02-12,2023-06-14,NaT,Complete,0 to 100 people,New water treatment plant,-95.01585,49.36315,True
1671,ONTARIO,Animakee Wa Zhing #37,Windigo Island Public Water System,Boil water advisory,Lifted,2015-02-09,2016-02-09,2019-02-20,NaT,Complete,0 to 100 people,Interim Treatment System,-93.97296,49.39471,True
1670,ONTARIO,Animakee Wa Zhing #37,Regina Bay Public Water System,Boil water advisory,Lifted,2002-09-26,2003-09-26,2020-09-03,NaT,Complete,101 to 500 people,Upgrades to treatment systems,-93.97296,49.39471,True
1639,ONTARIO,Anishinabe of Wauzhushk Onigum,Bald Indian Bay Public Water System,Boil water advisory,Lifted,2012-05-11,2013-05-11,2021-03-09,NaT,Complete,0 to 100 people,Installation of centrally managed decentralized systems,-94.44643,49.70772,True
1721,ONTARIO,Anishinabe of Wauzhushk Onigum,Migisi Treatment System Semi-Public Water System,Boil water advisory,Lifted,2008-05-26,2009-05-26,2017-12-08,NaT,Complete,Unknown,New water treatment system,-94.44643,49.70772,True
1776,ONTARIO,Anishinabe of Wauzhushk Onigum,Wauzhushk Onigum Public Water System,Boil water advisory,Lifted,2017-01-26,2018-01-26,2020-09-30,NaT,Complete,101 to 500 people,MTSA with City of Kenoara and distribution upgrades,-94.44643,49.70772,True
1676,ONTARIO,Shoal Lake No.40,Pumphouse No. 1 Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-09-15,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1680,ONTARIO,Shoal Lake No.40,Pumphouse No. 5 Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-09-15,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1679,ONTARIO,Shoal Lake No.40,Pumphouse No. 4 Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-09-15,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1678,ONTARIO,Shoal Lake No.40,Pumphouse No. 3 Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-09-15,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1677,ONTARIO,Shoal Lake No.40,Pumphouse No. 2 Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-09-15,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1681,ONTARIO,Shoal Lake No.40,Pumphouse No. 9 Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-09-15,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1682,ONTARIO,Shoal Lake No.40,School Pumphouse Public Water System,Boil water advisory,Lifted,1997-02-18,1998-02-18,2021-10-21,NaT,Complete,0 to 100 people,New water treatment plant,-95.13574,49.61399,True
1745,ONTARIO,Wabauskang First Nation,Wabauskang Public Water System,Boil water advisory,Lifted,2014-12-15,2015-12-15,2017-05-15,NaT,Complete,101 to 500 people,Minor repairs to the plant,-93.15667,50.40222,True
1435,ONTARIO,Wabigoon Lake Ojibway Nation,Wabigoon Lake Water Treatment System,Boil water advisory,Lifted,2021-09-15,2022-09-15,2022-12-01,NaT,Complete,201 to 500 people,Repairs and upgrades to the treatment system,-92.05333,49.59999,True
1720,ONTARIO,Alderville First Nation,Alderville Community Centre/Daycare Semi-Public Water System,Boil water advisory,Lifted,2013-05-29,2014-05-29,2016-02-11,NaT,Complete,0 to 100 people,Repairs to treatment system,-78.08053,44.17606,True
1723,ONTARIO,Curve Lake,Curve Lake Seniors Complex Semi-Public Water System,Boil water advisory,Lifted,2016-07-20,2017-07-20,2018-06-06,NaT,Complete,Unknown,Repairs to treatment system,-78.36074,44.48184,True
1659,ONTARIO,Mohawks of the Bay of Quinte,MBQ Airport Public Water System,Boil water advisory,Lifted,2003-10-17,2004-10-17,2021-12-21,NaT,Complete,0 to 100 people,Extension of distribution system,-77.25589,44.14373,True
1662,ONTARIO,Mohawks of the Bay of Quinte,MBQ Trailer Park Public Water System,Boil water advisory,Lifted,2008-06-06,2009-06-06,2022-03-15,NaT,Complete,0 to 100 people,Extension of distribution system,-77.25589,44.14373,True
1658,ONTARIO,Mohawks of the Bay of Quinte,All MBQ Semi-Public Water System,Boil water advisory,Lifted,2008-06-06,2009-06-06,2022-03-15,NaT,Complete,Unknown,Extension of distribution system,-77.25589,44.14373,True
1661,ONTARIO,Mohawks of the Bay of Quinte,MBQ Clifford Maracle's Well Public Water Supply,Boil water advisory,Lifted,2012-01-20,2013-01-20,2021-12-21,NaT,Complete,0 to 100 people,Extension of distribution system,-77.25589,44.14373,True
1660,ONTARIO,Mohawks of the Bay of Quinte,MBQ Bayview Variety Apartments Public Water System,Boil water advisory,Lifted,2008-06-06,2009-06-06,2022-03-15,NaT,Complete,0 to 100 people,Extension of distribution system,-77.25589,44.14373,True
1452,ONTARIO,Mohawks of the Bay of Quinte,Mohawks of the Bay of Quinte Public Works Garage,Boil water advisory,Lifted,2008-06-06,2009-06-06,2023-04-19,NaT,Complete,Unknown,Distribution system extension,-77.1508,44.19169,True
1448,ONTARIO,Chippewas of the Thames First Nation,Chippewas of the Thames Water Treatment System,Boil water advisory,Active,2021-12-14,2022-12-14,NaT,NaT,Feasibility,1001 or more people,Feasibility study underway to identify solution,-81.483333,42.833333,True
1534,ONTARIO,Munsee-Delaware Nation,Munsee-Delaware Containerized Public Water System,Do not consume advisory,Active,2024-02-27,2025-02-27,NaT,NaT,Construction,101 to 500 people,Repairs to water treatment system,-81.483333,42.8,True
1236,ONTARIO,Oneida Nation of the Thames,Oneida Public Water System,Boil water advisory,Active,2019-09-26,2020-09-26,NaT,NaT,Design,1001 or more people,Municipal-type service agreement with neighboring community,-81.41669,42.83329,True
1722,ONTARIO,Constance Lake,Constance Lake Public Water System,Boil water advisory,Lifted,2014-04-10,2015-04-10,2016-09-16,NaT,Complete,501 to 1000 people,New water treatment plant,-84.14349,49.80633,True
1645,ONTARIO,Eabametoong First Nation,Eabametoong Public Water System,Boil water advisory,Active,2001-08-01,2002-08-01,NaT,NaT,Complete,1001 or more people,Expansion and upgrades to water treatment plant,-87.88806,51.5589,True
1653,ONTARIO,Martin Falls,Marten Falls Public Water System,Boil water advisory,Active,2005-07-18,2006-07-18,NaT,NaT,Complete,101 to 500 people,Treatment system replacement at existing plant and upgrades to facility,-85.92351,51.63206,True
1650,ONTARIO,Gull Bay,Gull Bay Public Water System,Boil water advisory,Active,2009-04-30,2010-04-30,NaT,NaT,Complete,101 to 500 people,New water treatment plant,-89.10656,49.80446,True
1728,ONTARIO,Netmizaaggamig Nishnaabeg,Pic Mobert South - Lower Reserve Public Water System,Boil water advisory,Lifted,2008-02-26,2009-02-26,2016-12-16,NaT,Complete,101 to 500 people,New centralized water treatment plant,-85.60874,48.69799,True
1729,ONTARIO,Netmizaaggamig Nishnaabeg,Pic Mobert North - Upper Reserve Public Water System,Boil water advisory,Lifted,2010-01-29,2011-01-29,2016-06-20,NaT,Complete,Unknown,New centralized water treatment plant,-85.60874,48.69799,True
1730,ONTARIO,Biinjitiwaabik Zaaging Anishinaabek,Rocky Bay Public Water System,Boil water advisory,Lifted,2015-08-10,2016-08-10,2016-08-11,NaT,Complete,101 to 500 people,Replacement of disinfection equipment,-88.12989,49.43613,True
1732,ONTARIO,Serpent River,Serpent River Public Water System,Boil water advisory,Lifted,2015-09-01,2016-09-01,2017-11-08,NaT,Complete,Unknown,Replacement of membrane filters,-82.46813,46.20207,True
1539,ONTARIO,Mishkeegogamang,63B Public Water System,Boil water advisory,Active,2024-05-08,2025-05-08,NaT,NaT,Construction,1001 or more people,Repairs to water treatment system; upgrade and expansion in longer term,-90.238889,51.235,True
1725,ONTARIO,Mishkeegogamang,Ten Houses (63A) Public Water System,Boil water advisory,Lifted,2015-03-09,2016-03-09,2017-03-28,NaT,Complete,101 to 500 people,Improved monitoring,-90.22975,51.09183,True
1726,ONTARIO,Mishkeegogamang,New Osnaburgh (63B) Public Water System,Boil water advisory,Lifted,2016-10-18,2017-10-18,2017-12-19,NaT,Complete,1001 or more people,Repairs to treatment system,-90.22975,51.09183,True
1207,ONTARIO,Mishkeegogamang,Ten Houses (63A) Public Water System,Boil water advisory,Lifted,2019-06-10,2020-06-10,2021-10-14,NaT,Complete,Unknown,Upgrades to treatment system and new water treatment plant in longer-term,-90.18329,51.21669,True
1393,ONTARIO,Mishkeegogamang,Ace Lake Public Water System,Boil water advisory,Lifted,2020-09-08,2021-09-08,2022-07-18,NaT,Complete,Unknown,Upgrades to treatment system,-90.3023773203489,51.0702012688081,True
1394,ONTARIO,Mishkeegogamang,Mishkeegogamang 63B Public Water System,Boil water advisory,Lifted,2021-01-07,2022-01-07,2024-01-19,NaT,Complete,201 to 500 people,"Maintenance, repairs and operational improvements",-90.18329,51.21669,True
1247,ONTARIO,Mishkeegogamang,New Osnaburgh (63B) Public Water System,Boil water advisory,Lifted,2019-10-07,2020-10-07,2020-11-09,NaT,Complete,1001 or more people,Minor repairs and improved monitoring,-90.18329,51.21669,True
1362,ONTARIO,North Caribou Lake,North Caribou Lake Water Treatment System,Boil water advisory,Active,2020-03-03,2021-03-03,NaT,2024-04-15,Complete,501 to 1000 people,Interim package plant; Operational improvements; Upgrades and expansion of water treatment plant in longer-term,-91.02667,52.95,True
1652,ONTARIO,Lac Seul,Kejick Bay Public Water System,Boil water advisory,Lifted,2003-02-14,2004-02-14,2020-01-07,NaT,Complete,Unknown,New water treatment plant,-92.30026,50.2926,True
1641,ONTARIO,Bearskin Lake,Bearskin Lake Semi Public Water Systems – Public Buildings (4 cisterns),Boil water advisory,Active,2006-03-21,2007-03-21,NaT,NaT,Complete,0 to 100 people,Installation of cistern at affected building and longer-term plant upgrade and expansion,-90.95472,53.89194,True
1361,ONTARIO,Bearskin Lake,Bearskin Lake Nursing Station Semi Private Water System,Boil water advisory,Active,2020-02-26,2021-02-26,NaT,NaT,Construction,0 to 100 people,New treatment unit for the well,-90.970081,53.924975,True
1531,ONTARIO,Pikangikum,Pikangikum Public Water System,Boil water advisory,Active,2024-02-08,2025-02-08,NaT,NaT,Complete,1001 or more people,Repairs to system and operational improvements,-94.0,51.8,True
1674,ONTARIO,Pikangikum,Pikangikum Public Water System,Boil water advisory,Lifted,2016-12-14,2017-12-14,2018-09-17,NaT,Complete,1001 or more people,Upgrades and maintenance,-93.99465,51.80051,True
1675,ONTARIO,Sandy Lake,Sandy Lake Public Water System,Boil water advisory,Active,2002-10-10,2003-10-10,NaT,2024-07-22,Complete,1001 or more people,Repairs and operational improvements; plant upgrade and expansion in longer-term,-93.32766,53.06309,True
1663,ONTARIO,Muskrat Dam Lake,Muskrat Dam Public Water System,Boil water advisory,Active,2003-10-24,2004-10-24,NaT,NaT,Complete,101 to 500 people,Upgrades to filtration and disinfection systems,-91.77995,53.40402,True
1227,ONTARIO,Sachigo Lake,Sachigo Lake Public Water System,Boil water advisory,Lifted,2016-06-07,2017-06-07,2018-04-20,NaT,Complete,101 to 500 people,Repairs to treatment system,-92.17937,53.87427,True
1731,ONTARIO,Sachigo Lake,Sachigo Lake Public Water System,Boil water advisory,Lifted,2018-10-19,2019-10-19,2022-10-12,NaT,Complete,101 to 500 people,Plant upgrade and expansion,-92.17937,53.87427,True
1564,ONTARIO,Fort Severn,Fort Severn Public Water System,Boil water advisory,Active,2024-12-24,NaT,NaT,NaT,Construction,101 to 500 people,"Operational improvements, complete necessary repairs",-87.6332550049652,55.9905893461714,False
1827,ONTARIO,Fort Severn,Fort Severn Public Water System,Boil water advisory,Lifted,2019-02-04,2020-02-04,2020-09-25,NaT,Complete,101 to 500 people,Repairs to the distribution system and reservoir upgrades,-87.63329,55.98329,True
1449,ONTARIO,Fort Severn,Fort Severn Water Treatment System,Boil water advisory,Lifted,2021-12-29,2022-12-29,2024-10-09,NaT,Complete,501 to 1000 people,Repairs to system and upgrades to system in longer-term,-87.63329,55.98329,True
1536,ONTARIO,Cat Lake,Cat Lake Children's Healing Centre Semi-Public Water System,Boil water advisory,Active,2024-03-11,2025-03-11,NaT,NaT,Complete,Unknown,Installation of point-of-entry treatment and operational improvements,-91.828611,51.727778,True
1643,ONTARIO,Cat Lake,Cat Lake Children's Healing Centre Semi-Public Water System,Boil water advisory,Lifted,2006-10-13,2007-10-13,2018-12-17,NaT,Complete,Unknown,New water treatment system,-91.82861,51.72778,True
1515,ONTARIO,Wawakapewin,Long Dog Public Water System,Boil water advisory,Active,2023-07-21,2024-07-21,NaT,NaT,Initial Assessment,0 to 100 people,Repairs and operational improvements,-89.14168,53.45238,True
1684,ONTARIO,Wawakapewin,Long Dog Public Water System,Boil water advisory,Lifted,2004-03-03,2005-03-03,2022-04-20,NaT,Complete,0 to 100 people,New wells and package treatment plant,-89.14168,53.45238,True
1673,ONTARIO,Washagamis Bay,Washagamis Bay West Public Water System,Boil water advisory,Lifted,2008-12-19,2009-12-19,2021-09-18,2020-08-12,Complete,0 to 100 people,Interim upgrades and new treatment plant in longer-term,-94.58714,49.71451,True
1672,ONTARIO,Washagamis Bay,Washagamis Bay East Public Water System,Boil water advisory,Lifted,2008-12-19,2009-12-19,2021-09-18,2021-01-04,Complete,0 to 100 people,Interim upgrades and new treatment plant in longer-term,-94.58714,49.71451,True
1272,ONTARIO,Deer Lake,Deer Lake Public Water System,Boil water advisory,Active,2019-10-15,2020-10-15,NaT,NaT,Complete,501 to 1000 people,Improved operations and monitoring; feasibility study to determine long-term solution,-94.00667,52.06167,True
1724,ONTARIO,Deer Lake,Nursing Station Semi-Public Water System,Boil water advisory,Lifted,2001-11-01,2002-11-01,2018-04-23,NaT,Complete,Unknown,Repairs to treatment system,-94.07528,52.6375,True
1203,ONTARIO,North Spirit Lake,North Spirit Lake Public Water System,Boil water advisory,Active,2019-04-05,2020-04-05,NaT,NaT,Complete,101 to 500 people,"Maintenance and repairs, operational improvements",-93.01459,52.50942,True
1666,ONTARIO,North Spirit Lake,North Spirit Lake Public Water System,Boil water advisory,Lifted,2001-08-01,2002-08-01,2019-02-27,NaT,Complete,101 to 500 people,Repairs and upgrades to plant and distribution system,-93.01459,52.50942,True
1664,ONTARIO,Neskantaga First Nation,Neskantaga Public Water System,Boil water advisory,Active,1995-02-01,1996-02-01,NaT,NaT,Construction,101 to 500 people,Upgrade and expansion of existing treatment plant,-88.01144,52.20458,True
1746,ONTARIO,Webequie,Webequie Public Water System,Boil water advisory,Lifted,2016-04-08,2017-04-08,2018-04-24,NaT,Complete,501 to 1000 people,Repairs to distribution system and reservoir,-87.3603,52.98405,True
1665,ONTARIO,Nibinamik First Nation,Nibinamik Public Water System,Boil water advisory,Active,2013-02-05,2014-02-05,NaT,NaT,Construction,101 to 500 people,Upgrade and expansion of existing treatment plant,-88.51613,52.74551,True
1804,ONTARIO,Ojibway Nation of Saugeen,Saugeen Health Clinic Semi-Public Water System,Boil water advisory,Lifted,2018-04-26,2019-04-26,2022-02-16,NaT,Complete,Unknown,Repairs to well and installation of point-of-entry treatment sytsems,-90.7650735,50.4291717,True
1805,ONTARIO,Ojibway Nation of Saugeen,Saugeen School Semi-Public Water System,Boil water advisory,Lifted,2018-04-27,2019-04-27,2022-01-24,NaT,Complete,Unknown,Repairs to well and installation of point-of-entry treatment systems,-90.7650735,50.4291717,True
1507,ONTARIO,Slate Falls Nation,Slate Falls Public Water System,Boil water advisory,Active,2023-06-08,2024-06-08,NaT,NaT,Complete,101 to 500 people,Repairs and operational improvements,-91.618,51.149,True
1733,ONTARIO,Slate Falls Nation,Band office/Clinic Semi-Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,Unknown,New water treatment plant,-91.61824,51.14938,True
1734,ONTARIO,Slate Falls Nation,Pumphouse No. 1 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1735,ONTARIO,Slate Falls Nation,Pumphouse No. 2 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1736,ONTARIO,Slate Falls Nation,Pumphouse No. 3 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1737,ONTARIO,Slate Falls Nation,Pumphouse No. 4 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1738,ONTARIO,Slate Falls Nation,Pumphouse No. 5 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1739,ONTARIO,Slate Falls Nation,Pumphouse No. 6 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1740,ONTARIO,Slate Falls Nation,Pumphouse No. 7 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1741,ONTARIO,Slate Falls Nation,Pumphouse No. 8 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1742,ONTARIO,Slate Falls Nation,Pumphouse No. 9 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1743,ONTARIO,Slate Falls Nation,Warehouse Semi-Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1747,MANITOBA,Hollow Water,Hollow Water Public Water System,Boil water advisory,Lifted,2016-12-20,2017-12-20,2018-05-02,NaT,Complete,501 to 1000 people,Expansion and upgrade of plant,-96.30229,51.19238,True
1542,MANITOBA,Berens River,Berens River Public Water System,Boil water advisory,Active,2024-05-08,2025-05-08,NaT,NaT,Construction,1001 or more people,Upgrades to water treatment system,-96.9675,52.3431,True
1748,MANITOBA,Kinonjeoshtegon First Nation,Kinonjeoshtegon Public Water System,Boil water advisory,Lifted,2016-07-07,2017-07-07,2017-12-21,NaT,Complete,0 to 100 people,Upgrades to treatment system,-97.31095,51.91709,True
1749,MANITOBA,Kinonjeoshtegon First Nation,Kinonjeoshtegon Band Office/Health Centre Semi-Public Water System,Boil water advisory,Lifted,2017-04-13,2018-04-13,2018-06-22,NaT,Complete,Unknown,Connection to nearby pumphouse,-97.31095,51.91709,True
1750,MANITOBA,Lake Manitoba,Lake Manitoba Band Office Semi-Public Water System,Boil water advisory,Lifted,2014-06-23,2015-06-23,2016-03-23,NaT,Complete,Unknown,Repairs to well,-98.607,50.94718,True
1751,MANITOBA,Lake Manitoba,Lake Manitoba Public Water System,Boil water advisory,Lifted,2016-04-06,2017-04-06,2017-05-08,NaT,Complete,101 to 500 people,Improved disinfection process,-98.607,50.94718,True
